,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
165,US7170811035,PFE,"PFIZER INC.        DL-,05",Common stock,EUR,2506553,2018-10-10,15:00,39.38,39.38,39.38,39.38,33,1
166,DE0006200108,INH,INDUS HOLDING AG,Common stock,EUR,2505014,2018-10-10,15:00,49.95,49.95,49.95,49.95,5,1
167,DE0007493991,SAX,STROEER SE + CO. KGAA,Common stock,EUR,2505103,2018-10-10,15:00,48.16,48.16,48.16,48.16,23,2
168,AT0000827209,WFS,WARIMPEX FIN.U.BETEIL. AG,Common stock,EUR,2504183,2018-10-10,15:00,1.27,1.27,1.27,1.27,199,1
169,DE000A0CAYB2,WIN,DIEBOLD NIXDORF  INH.O.N.,Common stock,EUR,2504286,2018-10-10,15:00,56.5,56.5,56.5,56.5,66,1
170,DE0007472060,WDI,WIRECARD AG,Common stock,EUR,2505101,2018-10-10,15:00,153.2,154.45,153.15,154.05,18798,176
171,DE0005933998,EXSD,ISH.S.EUROP.MID 200 U.ETF,ETF,EUR,2504993,2018-10-10,15:00,44.62,44.62,44.62,44.62,400,1
172,DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Common stock,EUR,2504428,2018-10-10,15:00,8.472000000000001,8.48,8.454,8.454,8601,20
173,DE0008019001,PBB,DT.PFANDBRIEFBK AG,Common stock,EUR,2505126,2018-10-10,15:00,12.95,12.95,12.94,12.94,1940,4
174,DE000A2AADD2,IGY,INNOGY SE  INH. O.N.,Common stock,EUR,2504618,2018-10-10,15:00,38.47,38.47,38.47,38.47,390,1
175,CH0012221716,ABJ,"ABB LTD. NA     SF 0,12",Common stock,EUR,2504224,2018-10-10,15:00,18.945,18.945,18.945,18.945,100,1
176,DE0005493092,BVB,BORUSSIA DORTMUND,Common stock,EUR,2504940,2018-10-10,15:00,7.7,7.7,7.7,7.7,18,1
177,DE0007037129,RWE,RWE AG ST O.N.,Common stock,EUR,2505072,2018-10-10,15:00,17.17,17.19,17.17,17.17,23938,19
178,DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2018-10-10,15:00,75.42,75.42,75.26,75.29,8580,50
